type,category,question,contexts,contexts_idx
개선방안 제안형,예산 집행·관리,출장비와 관련하여 내부통제를 강화하려면 구체적으로 어떤 부분이 보완되어야 하는지 말해줘.,,
개선방안 제안형,설계·시공 품질 관리,기존 계획과는 달리 다르게 시공된 경우에 어떤식의 제도적 개선이나 조치가 이뤄지는지 설명해줘.,,
개선방안 제안형,구매·조달 운영,"분할 발주나, 분할 지시 등 분할계약 문제가 있었을 때 어떤식의 개선을 요구했는지 설명해줄래?",,
개선방안 제안형,근태·복무 관리,유연근무제로 인한 운영지침 미준수 등 근태 관련 문제가 나오는 경우 이를 해결하기 위한 방법으로 제시된 건 어떤게 있어?,,
개선방안 제안형,회계 부정·횡령,"출장비를 정산할 때 교통비가 과다 지급되는 등 출장정산에서 문제가 발생할 경우, 어떠한 개선 조치가 필요해?",,
개선방안 제안형,채용·인사 행정,기간제근로자 채용실태 관련해서 부적합한 절차가 있는 경우들에 대한 개선이나 조치는 보통 어떻게 하나?,,
개선방안 제안형,급여·수당 관리,"근무표를 임의로 변경해 초과근무수당이 부적정하게 지급된 사례에 대해, 재발을 방지하기 위한 개선방안과 내부통제 강화 조치를 제안해줘.",,
개선방안 제안형,도시·토지·주택,"사용허가나 부과 업무를 부정확하게 처리해 누락이나 미이행이 발생한 사례에 대해, 관리 절차 강화와 재발 방지를 위한 제도적 개선 방안을 제시해줘.",,
개선방안 제안형,문서·인장 관리,정비 기록에 대해서 수기대장과 시스템 기록이 일치하지 않거나 일관되지 않을 때 어떠한 개선 조치가 필요한지 알려줄래요?,,
개선방안 제안형,용역·위탁 관리,정식 절차 없이 계약내용을 변경한 경우 필요한 개선조치와 내부통제 방안을 제안해줄래요?,,
규정·법령 근거형,예산 집행·관리,감독여비를 실제일수보다 과다지급하게 된 경우에 대해서 여비규정이나 특별여비 규정을 설명해줘.,,
규정·법령 근거형,설계·시공 품질 관리,"하자관리 부적정, 자재선정 절차 위반, 설계변경 절차 미준수 등이 발생한 사례에서 적용 가능한 법령 또는 내부규정 위반 근거를 찾아줘.",,
규정·법령 근거형,구매·조달 운영,계약절차를 위반한 경우에는 보통 어떤 법령이 적용돼.,,
규정·법령 근거형,근태·복무 관리,"재택근무나 원격근무 과정에서 보고 의무를 누락하거나 복무관리를 소홀히 한 사례에 대해, 어떤 법령 또는 내부 규정이 위반된 것으로 볼 수 있는지 알려줘.",,
규정·법령 근거형,회계 부정·횡령,"정산 업무나 원가계산 과정에서 필수 비용 항목을 누락하여 정산금이 부정확하게 산정되거나 회수되지 않은 경우, 어떤 법령 또는 내부 규정 위반에 해당하는지 알려줄래?",,
규정·법령 근거형,채용·인사 행정,"승급, 직능등급, 근속요건 등 인사 기준을 부적정하게 적용한 사례에서 어떤 인사규정이나 보수규정 조항을 위반한 것으로 볼 수 있는지 알려주세요.",,
규정·법령 근거형,급여·수당 관리,"근로기준법에 의거해서 부당 지급이나, 급여관련 문제를 해결한 감사 건도 있을까.",,
규정·법령 근거형,도시·토지·주택,공사나 개발 업무에 대해 감사가 필요할 때 적용할 수 있는 주요 관계법령은 무엇인지 알려주세요.,,
규정·법령 근거형,문서·인장 관리,중요 문서 보관 의무를 지키지 않아 보안이 취약해진 경우 어떤 규정 위반인지 알려줘.,,
규정·법령 근거형,용역·위탁 관리,사전협의 의무를 지키지 않고 인력을 채용한 경우 어떤 규정 위반인지 알려줘.,,
유사 문제 탐지형,예산 집행·관리,지방자치단체가 부담해야 할 매입임대주택 사업비를 제때 지급하지 않아 공기업의 재정건전성이 악화된 사례와 유사한 감사사례를 찾아줄래?,,
유사 문제 탐지형,설계·시공 품질 관리,건설공사 감독 과정에서 시방서 미준수나 품질관리 부실로 인해 부실시공이 발생한 사례와 유사한 과거 감사 사례를 찾아줘.,,
유사 문제 탐지형,구매·조달 운영,연체금 관리 소홀이나 회수조치 미흡으로 채권을 회수하지 못한 사례와 유사한 감사 사례를 찾아줘.,,
유사 문제 탐지형,근태·복무 관리,사전 승인 없이 근무시간이나 근무형태를 임의로 변경한 사례와 유사한 감사 사례를 찾아줘.,,
유사 문제 탐지형,회계 부정·횡령,회계관련해서 지출을 허위로 보고하거나 은폐한 사건들을 알려줘.,,
유사 문제 탐지형,채용·인사 행정,인사규정의 징계 기준이나 인사요건이 불명확해 인사관리의 일관성과 공정성이 저해된 사례와 유사한 감사 사례를 찾아.,,
유사 문제 탐지형,급여·수당 관리,기술자격수당이나 특수작업수당같은 특별 수당에 대해서 지급 근거가 불충분하거나 부당하게 지급된 사례를 모두 찾아봐.,,
유사 문제 탐지형,도시·토지·주택,허가나 승인 판단 과정에서 기준 오해나 절차 미준수로 부적정 판단이 발생한 유사 사례를 찾아줘.,,
유사 문제 탐지형,문서·인장 관리,연구노트 미작성 혹은 관리 부실로 인해 발생한 감사건들좀 조사해줘.,,
유사 문제 탐지형,용역·위탁 관리,법령 위반 사항을 인지하고도 행정처분 절차를 제때 이행하지 않아 조치가 지연된 사례가 있는지 유사 사례를 검색해주세요.,,
처분수준 산정형,예산 집행·관리,"공사비 산정 오류로 인해 비용이 과다 계상된 사례에서, 과거 유사 문제의 처분 결과를 참고하여 적정 처분 수준을 추천해줘.",,
처분수준 산정형,설계·시공 품질 관리,"과징금 미납이나 부당특약 등 법령 위반으로 행정처분 실효성이 저하된 사례에 대해, 과거 유사 문제의 처분 결과를 참고하여 이번 사안의 적정 처분 수준을 추천해줄래?",,
처분수준 산정형,구매·조달 운영,"수의계약의 적정성을 충족하지 못한 채 부적정하게 계약을 처리한 사례에 대해, 과거 유사 문제의 처분 결과를 참고하여 적정 처분 수준을 추천해주세요.",,
처분수준 산정형,근태·복무 관리,"출장을 간다고 보고하고 가지 않거나, 보고 없이 간 경우 출장 관련해서 처분 수위는 보통 어느정도?",,
처분수준 산정형,회계 부정·횡령,"재무제표 작성에 문제가 있거나, 수치를 수정해 절차를 위반한 경우 최대 징계는 어디까지 가능해?",,
처분수준 산정형,채용·인사 행정,"채용공고나 채용절차에서 필수 기준을 누락하거나 규정을 준수하지 않은 사례에 대해, 과거 유사 문제의 처분 결과를 참고하여 적정 처분 수준을 추천해줘.",,
처분수준 산정형,급여·수당 관리,"규정에 없거나 협약이나 합의를 체결하지 않고 근거 없는 수당을 지급한 사례가 발생했다면, 어떤 처분이 내려져야 할까?",,
처분수준 산정형,도시·토지·주택,"행정처분 업무를 지연하거나 태만하게 수행하여 법령 위반자에 대한 조치가 늦어진 사례에 대해, 과거 유사 사례의 처분 결과를 참고해 적정한 처분 수준을 추천해.",,
처분수준 산정형,문서·인장 관리,"문서 작성과 기록 관리 과정에서 책임자 식별이 불가능해지거나 문서 내용이 부적정하게 작성된 경우, 유사 사례의 처분 결과를 바탕으로 적정한 처분 수준을 제시하세요.",,
처분수준 산정형,용역·위탁 관리,자산이나 물품을 임의로 반출하거나 부당하게 처분하여 이득을 취한 사례에 대해 과거 유사 사례의 처분 결과를 참고해 적정한 처분 수준을 알려줄래?,,
특정조건 검색형,예산 집행·관리,"23년 1월 이전에, 인천국제공항공사에서 예산을 부적정하게 사용하거나 낭비를 지적받은 사례를 모두 알려주세요.",,
특정조건 검색형,설계·시공 품질 관리,국토교통부나 국가철도공단의 사례 중에서 찾아줘. 시공감리가 소홀하거나 공사 관련 업무태만했던 사례가 있어?,,
특정조건 검색형,구매·조달 운영,"22년 12월 이전에, 인천국제공항공사에서 계약관련 서류 내용이 일치하지 않거나, 최신화가 되지 않는 등의 부적절한 사례를 모두 찾아줘.",,
특정조건 검색형,근태·복무 관리,22년 12월 이전에 발생한 한국가스공사에서 근무시간을 위반하거나 조기퇴근하는 등의 감사사례를 모두 찾아줘.,,
특정조건 검색형,회계 부정·횡령,22년 12월 이전에 한국철도공사 관련 기관에서 보수감액 의무를 위반한 사례가 있어? 있다면 모두 찾아줘.,,
특정조건 검색형,채용·인사 행정,한국토지주택공사에서 채용 관련 업무를 진행하던 중에 부정이나 업무 소홀이 발생했던 모든 사례를 가지고 와.,,
특정조건 검색형,급여·수당 관리,한국토지주택공사에서 급여 관련 문제가 되었던 건들은 어떤 케이스들이 있어?,,
특정조건 검색형,도시·토지·주택,한국가스공사에서 부지를 인허가 절차를 위반하여 시설을 설치하거나 착공한 사례가 있을까?,,
특정조건 검색형,문서·인장 관리,기록관리나 예방점검이 부실해서 문제가 일어난 경우도 있어? 있다면 그 케이스들에 내려진 처분도 정리해봐.,,
특정조건 검색형,용역·위탁 관리,인천국제공항공사에서 계약관리절차에서 적정성 검토 등의 계약관리 절차가 부적절했던 사례를 모두 찾아.,,
